item_id,item,str,ph_dam,mag_dam,e_s_dam,ph_def,b_mana,speed
101,silver_dagger,10,10,0,0,0,0,0
102,spiked_axe,16,11,0,5,0,0,0
103,heavy_blade,16,16,0,0,0,0,0
104,rust_blade,15,18,0,0,0,0,0
105,katana,18,24,0,7,0,0,0
106,shield_breaker,22,17,0,40,0,0,0
107,blaze_edge,23,20,13,5,0,0,0
108,wooden_rod,15,5,16,0,0,30,0
109,golden_rod,15,7,34,0,0,60,0
110,fushion_edge,25,24,18,5,0,20,0
111,golden_blade,28,46,24,12,0,0,0
112,ion_bo,20,10,60,0,0,120,0
113,guard_blade,40,90,0,10,15,-40,0
114,shadow_katana,0,0,0,0,0,0,15
115,shadow_spirit,19,21,44,5,0,80,0
