CREATE TABLE IF NOT EXISTS 'playerskill' ('player_id' INTEGER NOT NULL UNIQUE, 'skill_1001' INTEGER, 'skill_1011' INTEGER, 'skill_1012' INTEGER, 'skill_1021' INTEGER, 'skill_1041' INTEGER, 'skill_1042' INTEGER, 'skill_1051' INTEGER, 'skill_2001' INTEGER, 'skill_2011' INTEGER, 'skill_2012' INTEGER, 'skill_2022' INTEGER, 'skill_2031' INTEGER, 'skill_2032' INTEGER, 'skill_2041' INTEGER, 'skill_2042' INTEGER);
player_id,skill_1001,skill_1011,skill_1012,skill_1021,skill_1041,skill_1042,skill_1051,skill_2001,skill_2011,skill_2012,skill_2022,skill_2031,skill_2032,skill_2041,skill_2042
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
8,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
11,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0
12,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
13,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1
14,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
