CREATE TABLE IF NOT EXISTS 'allplayer' ('player_id' INTEGER PRIMARY KEY  NOT NULL  UNIQUE , 'player_name' VARCHAR NOT NULL  UNIQUE,'password' VARCHAR , 'player_class' VARCHAR, 'level' DOUBLE,'str' DOUBLE, 'speed' DOUBLE, 'max_hp' DOUBLE, 'max_mana' DOUBLE, 'max_xp' DOUBLE,'hp' DOUBLE, 'mana' DOUBLE, 'xp' DOUBLE, 'gold' DOUBLE, 'remskilpts' DOUBLE, 'remattpts' DOUBLE);
player_id,player_name,password,player_class,level,str,speed,max_hp,max_mana,max_xp,hp,mana,xp,gold,remskilpts,remattpts
1,Thief,null,Ninja,1,15,17,70,75,150,70,75,0,250,0,0
2,Swordsman,null,Samurai,2,17,15,85,70,150,85,70,0,300,0,0
3,Seer,null,Wizard,3,15,17,75,85,150,75,85,0,350,0,0
4,Agent,null,Balanced,4,16,16,75,75,150,75,75,0,400,0,0
5,Bandit,null,Ninja,5,20,22,100,115,200,100,115,0,450,0,0
6,Warrior,null,Samurai,6,22,20,115,100,200,115,100,0,500,0,0
7,Shaman,null,Wizard,7,20,22,105,115,200,105,115,0,550,0,0
8,Mercenery,null,Balanced,8,21,21,110,110,200,110,110,0,600,0,0
9,Ronin,null,Ninja,9,25,27,130,145,250,130,145,0,650,0,0
10,Samurai,null,Samurai,10,27,25,150,130,250,150,130,0,700,0,0
11,Mage,null,Wizard,11,25,27,135,150,250,135,150,0,750,0,0
12,Raider,null,Balanced,12,26,26,140,140,250,140,140,0,750,0,0
13,Assailant,null,Ninja,13,30,32,185,195,300,185,195,0,750,0,0
14,Knight,null,Samurai,14,32,30,200,180,300,200,180,0,750,0,0
15,Witch,null,Wizard,15,30,32,180,205,300,180,205,0,750,0,0
16,Trooper,null,Balanced,16,31,31,190,190,300,190,190,0,750,0,0
17,Anti-Ninja,null,Ninja,17,35,37,240,245,350,240,245,0,750,0,0
18,Guardian,null,Samurai,18,37,35,250,235,350,250,235,0,750,0,0
19,Voodoo-master,null,Wizard,19,35,37,240,255,350,240,255,0,750,0,0
20,Gate-Keeper,null,Balanced,20,36,36,245,245,350,245,245,0,750,0,0
21,Osairas,null,Ninja,1,15,17,70,75,150,70,75,0,250,0,0
22,goldALot,null,Ninja,1,45,17,70,75,150,70,75,0,9999999,0,0
